url:https://www.restoclub.ru/spb/place/shanti-project-petrogradskaja	title:Shanti Project Петроградская	tag:type:Гастробар	tag:subway:Петроградская, Горьковская	tag:check:1500	tag:score:Кухня:8.8	tag:score:Интерьер:8.5	tag:score:Сервис:7.8	tag:votes:7
url:https://www.restoclub.ru/spb/place/lounge-room-1	title:Lounge Room	tag:type:Кальянная	tag:subway:Гостиный Двор, Невский Проспект	tag:check:1200	tag:score:Кухня:9.3	tag:score:Интерьер:9.2	tag:score:Сервис:9.5	tag:votes:41
url:https://www.restoclub.ru/spb/place/nok	title:NOK	tag:type:Ресторан	tag:subway:Балтийская	tag:check:2500	tag:score:Кухня:8.7	tag:score:Интерьер:9.4	tag:score:Сервис:9.2	tag:votes:28
url:https://www.restoclub.ru/spb/place/localita	title:Localita	tag:type:Ресторан	tag:subway:Горьковская	tag:check:1200	tag:score:Кухня:7.8	tag:score:Интерьер:8.2	tag:score:Сервис:8.5	tag:votes:6
url:https://www.restoclub.ru/spb/place/the-right-place	title:The Right Place	tag:type:Ресторан	tag:subway:Невский Проспект, Гостиный Двор	tag:check:1700	tag:score:Кухня:8.0	tag:score:Интерьер:7.6	tag:score:Сервис:7.9	tag:votes:15
url:https://www.restoclub.ru/spb/place/look	title:Look	tag:type:Кальянная	tag:subway:Невский Проспект, Адмиралтейская	tag:check:600	tag:score:Кухня:9.8	tag:score:Интерьер:9.8	tag:score:Сервис:9.8	tag:votes:68
url:https://www.restoclub.ru/spb/place/laboratorija-31	title:Лаборатория 31 на Гороховой	tag:type:Бар	tag:subway:Сенная Площадь, Спасская, Садовая	tag:check:600	tag:score:Кухня:8.6	tag:score:Интерьер:9.0	tag:score:Сервис:8.6	tag:votes:873
url:https://www.restoclub.ru/spb/place/poltavskaya-7	title:Poltavskaya 7	tag:type:Кальянная	tag:subway:Площадь Восстания	tag:check:1000	tag:score:Кухня:9.2	tag:score:Интерьер:9.3	tag:score:Сервис:9.5	tag:votes:239
url:https://www.restoclub.ru/spb/place/laboratorija-31-1	title:Лаборатория 31 на Марата	tag:type:Бар	tag:subway:Владимирская, Достоевская	tag:check:650	tag:score:Кухня:9.0	tag:score:Интерьер:9.2	tag:score:Сервис:9.2	tag:votes:535
url:https://www.restoclub.ru/spb/place/mendeleev-2	title:Mendeleev Bar	tag:type:Бар	tag:subway:Гостиный Двор, Невский Проспект, Садовая, Сенная Площадь, Спасская	tag:check:1000	tag:score:Кухня:8.3	tag:score:Интерьер:8.2	tag:score:Сервис:8.3	tag:votes:102
url:https://www.restoclub.ru/spb/place/ipub-lounge	title:IPub Lounge	tag:type:Кальянная	tag:subway:Садовая, Сенная Площадь, Спасская	tag:check:700	tag:score:Кухня:0.0	tag:score:Интерьер:0.0	tag:score:Сервис:0.0	tag:votes:NaN
url:https://www.restoclub.ru/spb/place/tangiers-lounge-2	title:Tangiers Lounge Vostok	tag:type:Кальянная	tag:subway:Улица Дыбенко	tag:check:1200	tag:score:Кухня:0.0	tag:score:Интерьер:0.0	tag:score:Сервис:0.0	tag:votes:NaN
url:https://www.restoclub.ru/spb/place/nuahule-electro	title:Nuahule Electro	tag:type:Кальянная	tag:subway:Электросила	tag:check:1500	tag:score:Кухня:9.7	tag:score:Интерьер:9.8	tag:score:Сервис:9.9	tag:votes:15
url:https://www.restoclub.ru/spb/place/anonimnoe-obshhestvo-userdnyh-degustatorov	title:Анонимное общество усердных дегустаторов	tag:type:Бар	tag:subway:Достоевская, Владимирская	tag:check:700	tag:score:Кухня:7.5	tag:score:Интерьер:7.2	tag:score:Сервис:6.5	tag:votes:7
url:https://www.restoclub.ru/spb/place/the-red-corner	title:The Red Corner	tag:type:Паб	tag:subway:Чернышевская	tag:check:700	tag:score:Кухня:0.0	tag:score:Интерьер:0.0	tag:score:Сервис:0.0	tag:votes:3
url:https://www.restoclub.ru/spb/place/probirochnaja	title:Пробирочная	tag:type:Бар	tag:subway:Площадь Восстания	tag:check:350	tag:score:Кухня:9.1	tag:score:Интерьер:9.4	tag:score:Сервис:9.6	tag:votes:266
url:https://www.restoclub.ru/spb/place/ruki-vverh-bar	title:Руки вверх бар	tag:type:Бар	tag:subway:Невский Проспект, Гостиный Двор	tag:check:1800	tag:score:Кухня:8.2	tag:score:Интерьер:8.6	tag:score:Сервис:7.8	tag:votes:276
url:https://www.restoclub.ru/spb/place/papasha-klauss	title:Папаша Клаусс	tag:type:Бар	tag:subway:Беговая, Старая Деревня	tag:check:1100	tag:score:Кухня:8.3	tag:score:Интерьер:8.7	tag:score:Сервис:7.8	tag:votes:132
url:https://www.restoclub.ru/spb/place/nebar-1	title:Nebar 2.0	tag:type:Бар	tag:subway:Гостиный Двор	tag:check:1000	tag:score:Кухня:8.8	tag:score:Интерьер:9.2	tag:score:Сервис:8.7	tag:votes:167
url:https://www.restoclub.ru/spb/place/kvartira-kosti-krojca	title:Квартира 8	tag:type:Ресторан	tag:subway:Маяковская	tag:check:1200	tag:score:Кухня:6.3	tag:score:Интерьер:8.9	tag:score:Сервис:5.1	tag:votes:38
url:https://www.restoclub.ru/spb/place/matisse	title:Matisse	tag:type:Бар	tag:subway:Владимирская, Достоевская	tag:check:1300	tag:score:Кухня:9.8	tag:score:Интерьер:9.7	tag:score:Сервис:9.7	tag:votes:6
url:https://www.restoclub.ru/spb/place/pifko-streetfood	title:Пиf'ko streetfood	tag:type:Бар	tag:subway:undefined	tag:check:600	tag:score:Кухня:9.3	tag:score:Интерьер:9.3	tag:score:Сервис:9.7	tag:votes:9
url:https://www.restoclub.ru/spb/place/mr-toad	title:Mr. Toad	tag:type:Бар	tag:subway:Владимирская, Достоевская	tag:check:400	tag:score:Кухня:9.3	tag:score:Интерьер:9.8	tag:score:Сервис:9.8	tag:votes:9
url:https://www.restoclub.ru/spb/place/orthodox-russian-bar	title:Orthodox Russian Bar	tag:type:Бар	tag:subway:Владимирская, Достоевская	tag:check:200	tag:score:Кухня:8.9	tag:score:Интерьер:9.1	tag:score:Сервис:8.9	tag:votes:6
url:https://www.restoclub.ru/spb/place/jetobar	title:Этобар	tag:type:Бар	tag:subway:Владимирская, Достоевская	tag:check:600	tag:score:Кухня:9.0	tag:score:Интерьер:9.6	tag:score:Сервис:9.7	tag:votes:14
url:https://www.restoclub.ru/spb/place/buddha-bar	title:Buddha-Bar St.Petersburg	tag:type:Ресторан	tag:subway:Чернышевская, Площадь Александра Невского	tag:check:3000	tag:score:Кухня:8.5	tag:score:Интерьер:9.2	tag:score:Сервис:8.2	tag:votes:52
url:https://www.restoclub.ru/spb/place/killfish-15	title:Killfish 2.0	tag:type:Бар	tag:subway:Звенигородская, Владимирская, Достоевская	tag:check:700	tag:score:Кухня:9.4	tag:score:Интерьер:9.2	tag:score:Сервис:9.0	tag:votes:8
url:https://www.restoclub.ru/spb/place/paloma-cantina	title:Paloma Cantina	tag:type:Кафе	tag:subway:Гостиный Двор, Невский Проспект	tag:check:800	tag:score:Кухня:8.4	tag:score:Интерьер:6.1	tag:score:Сервис:9.5	tag:votes:2
url:https://www.restoclub.ru/spb/place/neighbours-gastropub-bar	title:Neighbours Gastropub & Bar	tag:type:Кафе	tag:subway:Пролетарская	tag:check:700	tag:score:Кухня:9.8	tag:score:Интерьер:9.4	tag:score:Сервис:8.2	tag:votes:5
url:https://www.restoclub.ru/spb/place/sidrerija-1	title:Сидрерия	tag:type:Бар	tag:subway:Гостиный Двор, Чернышевская, Маяковская	tag:check:800	tag:score:Кухня:7.2	tag:score:Интерьер:6.9	tag:score:Сервис:7.0	tag:votes:17
url:https://www.restoclub.ru/spb/place/apteka-1	title:Apotheke	tag:type:Бар	tag:subway:Гостиный Двор	tag:score:Кухня:8.1	tag:score:Интерьер:8.8	tag:score:Сервис:8.7	tag:votes:7
url:https://www.restoclub.ru/spb/place/ardenne	title:Ardenne	tag:type:Ресторан	tag:subway:Петроградская	tag:check:1300	tag:score:Кухня:7.9	tag:score:Интерьер:7.6	tag:score:Сервис:8.0	tag:votes:6
url:https://www.restoclub.ru/spb/place/bloody-mary	title:Bloody Mary Bar & Grill	tag:type:Бар	tag:subway:Сенная Площадь, Садовая, Спасская	tag:check:1150	tag:score:Кухня:8.4	tag:score:Интерьер:8.3	tag:score:Сервис:8.5	tag:votes:31
url:https://www.restoclub.ru/spb/place/daiquiri-bar	title:Daiquiri Bar	tag:type:Бар	tag:subway:Невский Проспект, Гостиный Двор	tag:check:1000	tag:score:Кухня:8.8	tag:score:Интерьер:8.2	tag:score:Сервис:8.1	tag:votes:91
url:https://www.restoclub.ru/spb/place/o-hooligans-3	title:O'Hooligans	tag:type:Паб	tag:subway:Гостиный Двор, Невский Проспект	tag:check:1300	tag:score:Кухня:8.7	tag:score:Интерьер:9.2	tag:score:Сервис:9.0	tag:votes:30
url:https://www.restoclub.ru/spb/place/poltory-komnaty	title:Полторы комнаты	tag:type:Бар	tag:subway:Чернышевская	tag:check:400	tag:score:Кухня:9.1	tag:score:Интерьер:8.0	tag:score:Сервис:8.9	tag:votes:11
url:https://www.restoclub.ru/spb/place/ugli	title:Угли Lounge Bar	tag:type:Кальянная	tag:subway:Маяковская, Площадь Восстания	tag:check:1100	tag:score:Кухня:9.4	tag:score:Интерьер:9.6	tag:score:Сервис:9.4	tag:votes:54
url:https://www.restoclub.ru/spb/place/el-copitas	title:El Copitas	tag:type:Бар	tag:subway:Владимирская, Достоевская	tag:check:900	tag:score:Кухня:6.4	tag:score:Интерьер:7.6	tag:score:Сервис:8.7	tag:votes:14
url:https://www.restoclub.ru/spb/place/conchita-bonita	title:Conchita Bonita	tag:type:Кафе	tag:subway:Садовая, Сенная Площадь, Спасская	tag:check:1300	tag:score:Кухня:8.1	tag:score:Интерьер:7.5	tag:score:Сервис:8.0	tag:votes:93
url:https://www.restoclub.ru/spb/place/lastochki	title:Ласточки	tag:type:Бар	tag:subway:Горьковская	tag:check:1400	tag:score:Кухня:7.2	tag:score:Интерьер:7.7	tag:score:Сервис:7.5	tag:votes:2
url:https://www.restoclub.ru/spb/place/nau	title:Nau	tag:type:Кафе	tag:subway:Владимирская, Достоевская	tag:check:1100	tag:score:Кухня:7.8	tag:score:Интерьер:7.8	tag:score:Сервис:7.9	tag:votes:4
url:https://www.restoclub.ru/spb/place/rassvety-zakaty	title:Рассветы / закаты	tag:type:Ресторан	tag:subway:Сенная Площадь, Садовая, Спасская	tag:check:1200	tag:score:Кухня:7.0	tag:score:Интерьер:8.9	tag:score:Сервис:7.3	tag:votes:6
url:https://www.restoclub.ru/spb/place/arka	title:Арка	tag:type:Бар	tag:subway:Невский Проспект, Гостиный Двор, Адмиралтейская	tag:check:1300	tag:score:Кухня:7.8	tag:score:Интерьер:8.0	tag:score:Сервис:8.3	tag:votes:30
